STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,airpol,Air pollutants and greenhouse gases,src_nfr,"Source sectors for emissions of air pollutants (Nomenclature for reporting, CLRTAP)",geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2019,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2020,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2021,,3,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,BG,Bulgaria,2022,,4,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,1990,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,1991,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,1992,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,1993,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,1994,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,1995,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,1996,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,1997,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,1998,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,1999,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2000,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2001,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2002,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2003,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2004,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2005,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2006,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2007,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2008,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2009,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2010,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2011,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2012,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2013,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2014,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2015,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2016,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2017,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2018,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2019,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2020,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2021,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CY,Cyprus,2022,,0,,,,,
dataflow,ESTAT:ENV_AIR_EMIS(1.0),Air pollutants by source sector,A,Annual,T,Tonne,AS,Arsenic (As),NFR_TOT_NAT_C,National total for compliance assessment,CZ,Czechia,1990,,69,,,,,
