STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,tax,Taxes,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FI,Finland,2021,,6289,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FI,Finland,2022,,6529,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FI,Finland,2023,,6182,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FR,France,2014,,43225,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FR,France,2015,,47101,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FR,France,2016,,49803,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FR,France,2017,,52775,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FR,France,2018,,55740,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FR,France,2019,,56162,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FR,France,2020,,49304,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FR,France,2021,,54099,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FR,France,2022,,53363,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,FR,France,2023,,49859,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HR,Croatia,2014,,1746.44,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HR,Croatia,2015,,1910.08,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HR,Croatia,2016,,2043.64,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HR,Croatia,2017,,2146.73,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HR,Croatia,2018,,2295.46,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HR,Croatia,2019,,2366.11,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HR,Croatia,2020,,2057.66,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HR,Croatia,2021,,2257.57,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HR,Croatia,2022,,2272.53,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HR,Croatia,2023,,2575.87,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HU,Hungary,2014,,2557.84,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HU,Hungary,2015,,2787.77,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HU,Hungary,2016,,2945.57,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HU,Hungary,2017,,3100.77,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HU,Hungary,2018,,3101.07,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HU,Hungary,2019,,3307.92,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HU,Hungary,2020,,2982.81,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HU,Hungary,2021,,3095.85,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HU,Hungary,2022,,3118.66,,,,,
dataflow,ESTAT:ENV_AC_TAX(1.0),Environmental tax revenues,A,Annual,ENV,Total environmental taxes,MIO_EUR,Million euro,HU,Hungary,2023,,4249.89,,,,,
